q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,metric
1.0,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,1.0,0.0,340.2,368.5,-0.004888549873212588,-0.004888549864804697,P0,F1_Frobenius
2.0,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,1.0,0.0,240.8181818181818,183.0,-0.01024820010156669,-0.010248200093158797,P0,F1_Frobenius
3.0,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,1.0,0.0,193.89705882352942,142.75,-0.0465244037936371,0.015035855253047431,P0,F1_Frobenius
4.0,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,1.0,0.0,184.20454545454547,143.25,-0.09164929037309777,0.050811085260744376,P0,F1_Frobenius
5.0,28,573,1,0.01818181818181818,0.025477572909264095,-0.007486492382967622,0.7625610938212595,0.7136401197465302,194.43636363636364,146.5,-0.096037269885716,0.08106428511978074,P0,F1_Frobenius
6.0,34,573,1,0.014925373134328358,0.031004428935034415,-0.01659352868149286,0.8828317987548299,0.4813948731519119,223.6417910447761,179.0,-0.12081221098216453,0.08762515361917882,P0,F1_Frobenius
7.0,40,573,4,0.05263157894736842,0.03659167305736104,0.016649125237384824,0.3021084629914409,1.4383485243996155,220.1315789473684,177.5,-0.10604712970931615,0.1393453801840858,P0,F1_Frobenius
8.0,45,573,6,0.07142857142857142,0.041294420937402626,0.031432121757999316,0.1301014547021626,1.7297390254448306,219.45238095238096,186.5,-0.09587190692960357,0.1587361504456022,P0,F1_Frobenius
9.0,51,573,8,0.0851063829787234,0.046994555952628414,0.039991195500663414,0.07065424925003903,1.810983873632354,215.4255319148936,188.0,-0.09184401394116282,0.17182640494248963,P0,F1_Frobenius
10.0,57,573,8,0.07547169811320754,0.05275760760908707,0.023979174376674968,0.19253854262356407,1.4305367800682485,226.14622641509433,196.5,-0.10490895661715138,0.1528673053705013,P0,F1_Frobenius
11.0,63,573,11,0.09565217391304348,0.05858458404020633,0.039374317909427824,0.0691668085593569,1.632719178263651,225.97826086956522,196.0,-0.08991637800402755,0.1686650138228832,P0,F1_Frobenius
12.0,68,573,14,0.11475409836065574,0.06348998130614933,0.05473952870894474,0.019621626725187958,1.8074363230209554,229.04508196721312,197.5,-0.07809225463762046,0.18757131205550995,P0,F1_Frobenius
13.0,74,573,18,0.13846153846153847,0.06943688706444504,0.07417514238163624,0.0028712962228367458,1.9940631603060057,224.15769230769232,196.5,-0.06753584084095964,0.2158861256042321,P0,F1_Frobenius
14.0,80,573,21,0.1510791366906475,0.07545075520425892,0.08180027393034862,0.0011835785807384862,2.002354201513938,222.14388489208633,196.0,-0.06266228239383988,0.22626283025453714,P0,F1_Frobenius
15.0,85,573,22,0.14864864864864866,0.08051427689820931,0.07410052167052147,0.002673512516616943,1.8462396282410716,217.83445945945945,186.0,-0.0685497989438403,0.21675084228488325,P0,F1_Frobenius
16.0,91,573,26,0.16666666666666666,0.08665385984471832,0.08760403455402464,0.0005519807005161501,1.9233611401191983,215.22756410256412,177.5,-0.04831973754602299,0.2235278066540723,P0,F1_Frobenius
17.0,97,573,29,0.17575757575757575,0.09286367473140028,0.09137976147259994,0.0003351403668804773,1.8926407582506133,216.76969696969698,182.0,-0.044325959018401695,0.22708548196360157,P0,F1_Frobenius
18.0,103,573,31,0.17714285714285713,0.09914492971776269,0.08658210404550172,0.0005896419299347943,1.7867061648753222,213.94285714285715,179.0,-0.050604327558695886,0.22376853564969934,P0,F1_Frobenius
19.0,108,573,36,0.2,0.10443477276239174,0.10670939908238894,4.189235129144599e-05,1.915070954911126,211.45555555555555,175.5,-0.03094644873070132,0.2443652468954792,P0,F1_Frobenius
20.0,114,573,38,0.2,0.11085023542627534,0.10026405913346305,9.903853386067267e-05,1.8042361320289366,206.79473684210527,172.5,-0.037520200720116095,0.2380483189870422,P0,F1_Frobenius
21.0,120,573,38,0.18811881188118812,0.11734072027853504,0.08018733075008067,0.0012444872793296792,1.6031843969820971,205.0742574257426,172.5,-0.05676917528218267,0.217143836782344,P0,F1_Frobenius
22.0,126,573,40,0.18867924528301888,0.12390754979930439,0.07393248905281237,0.002564779035275853,1.5227421217563137,201.75943396226415,171.5,-0.05900213515870924,0.206867113264334,P0,F1_Frobenius
23.0,131,573,43,0.1963470319634703,0.12943920253995603,0.0768560100784749,0.001859573182548429,1.5169054514443627,198.66666666666666,168.0,-0.054689544314083655,0.20840156447103345,P0,F1_Frobenius
24.0,137,573,49,0.21777777777777776,0.13614953768030674,0.0944934842985152,0.00021562509273936794,1.5995484192472442,199.33777777777777,170.0,-0.03584093972790142,0.22482790832493182,P0,F1_Frobenius
25.0,143,573,52,0.2222222222222222,0.1429401392933665,0.09250472057282998,0.0002845818080401098,1.5546523413282767,197.81623931623932,169.0,-0.03964749523128018,0.22465693637694012,P0,F1_Frobenius
26.0,148,573,56,0.23333333333333334,0.14866133274015444,0.09945748249131894,0.00011530295886892613,1.5695630399142009,197.3875,169.0,-0.033184450314430736,0.23209941529706862,P0,F1_Frobenius
